Lead_ID,Customer_ID,Campaign_ID,Campaign_Name,Channel,Lead_Date,Conversion_Date,Country,City,Region,Device,Age_Group,Status,Revenue,Touch_1,Touch_2,Touch_3,Final_Touch
L000001,,C010,Influencer Awareness,Instagram,2025-01-03,,Australia,Kolkata,South,Desktop,25-34,Lost,0.0,Facebook Ads,YouTube,LinkedIn,Instagram
L000002,,C003,Instagram Product Launch,Instagram,2025-08-17,,India,Mumbai,West,Tablet,18-24,Lost,0.0,Organic Search,Organic Search,Google Ads,Instagram
L000003,CUST000002,C007,Google Display Remarketing,Google Ads,2025-08-17,2025-09-24,UK,Mumbai,East,Mobile,35-44,Customer,983.16,YouTube,Instagram,Facebook Ads,Google Ads
L000004,,C016,High Value Customer Campaign,Email,2025-12-09,,Germany,Chennai,South,Desktop,25-34,Lost,0.0,Google Ads,Instagram,Facebook Ads,Email
L000005,,C016,High Value Customer Campaign,Email,2025-05-21,,India,New York,East,Desktop,18-24,Lost,0.0,Organic Search,Organic Search,Organic Search,Email
L000006,CUST000005,C020,Year End Mega Sale,Google Ads,2025-02-26,2025-03-12,Australia,Pune,South,Tablet,18-24,Customer,651.84,Google Ads,Email,Instagram,Google Ads
L000007,,C017,Mobile App Acquisition,Google Ads,2025-08-04,,USA,Ahmedabad,North,Mobile,25-34,Lost,0.0,LinkedIn,Google Ads,LinkedIn,Google Ads
L000008,,C002,Meta New Customer Push,Facebook Ads,2025-04-24,,UAE,New York,East,Mobile,35-44,Lost,0.0,YouTube,Email,Facebook Ads,Facebook Ads
L000009,,C001,Google Search Summer Sale,Google Ads,2025-10-21,,UK,Hyderabad,East,Mobile,35-44,Lost,0.0,Email,Email,Facebook Ads,Google Ads
L000010,,C016,High Value Customer Campaign,Email,2025-01-28,,Germany,Bengaluru,East,Mobile,25-34,Lost,0.0,Google Ads,Google Ads,YouTube,Email
L000011,,C012,B2B Webinar Leads,LinkedIn,2026-06-22,,Germany,London,North,Tablet,45-54,Lost,0.0,Facebook Ads,Organic Search,Email,LinkedIn
L000012,,C005,LinkedIn B2B Leads,LinkedIn,2026-08-19,,USA,Hyderabad,South,Tablet,55+,Qualified,0.0,Google Ads,Facebook Ads,Instagram,LinkedIn
L000013,,C005,LinkedIn B2B Leads,LinkedIn,2025-11-17,,Germany,Toronto,West,Mobile,35-44,Lost,0.0,LinkedIn,Google Ads,Email,LinkedIn
L000014,,C009,Holiday Shopping Promo,Google Ads,2026-07-27,,UK,Chennai,South,Mobile,25-34,Qualified,0.0,Instagram,Google Ads,LinkedIn,Google Ads
L000015,,C009,Holiday Shopping Promo,Google Ads,2026-05-28,,India,London,South,Tablet,35-44,Qualified,0.0,Instagram,Instagram,Email,Google Ads
L000016,,C003,Instagram Product Launch,Instagram,2025-02-01,,India,Chennai,North,Mobile,18-24,Lost,0.0,YouTube,Instagram,YouTube,Instagram
L000017,,C019,Enterprise ABM,LinkedIn,2026-02-15,,UAE,New York,West,Mobile,25-34,Lost,0.0,Organic Search,LinkedIn,Email,LinkedIn
L000018,,C016,High Value Customer Campaign,Email,2026-02-01,,Australia,Toronto,Central,Mobile,18-24,Lost,0.0,Email,Email,LinkedIn,Email
L000019,,C016,High Value Customer Campaign,Email,2025-01-17,,Australia,New York,South,Mobile,45-54,Qualified,0.0,YouTube,Instagram,LinkedIn,Email
L000020,,C003,Instagram Product Launch,Instagram,2026-08-24,,UK,Delhi,South,Desktop,25-34,Qualified,0.0,Google Ads,LinkedIn,Facebook Ads,Instagram
L000021,,C020,Year End Mega Sale,Google Ads,2025-02-21,,Australia,Bengaluru,South,Mobile,45-54,Lost,0.0,Email,Instagram,Instagram,Google Ads
L000022,CUST000021,C001,Google Search Summer Sale,Google Ads,2026-01-05,2026-01-24,Canada,Chennai,West,Tablet,18-24,Customer,1184.35,LinkedIn,Google Ads,LinkedIn,Google Ads
L000023,,C020,Year End Mega Sale,Google Ads,2025-06-13,,UK,Ahmedabad,East,Tablet,55+,Lost,0.0,Instagram,Facebook Ads,Google Ads,Google Ads
L000024,CUST000023,C011,Cart Recovery Email,Email,2025-10-30,2025-11-25,Canada,Chennai,East,Mobile,35-44,Customer,698.47,Organic Search,Organic Search,YouTube,Email
L000025,,C017,Mobile App Acquisition,Google Ads,2026-03-26,,UK,Mumbai,South,Tablet,45-54,Lost,0.0,Instagram,Instagram,Facebook Ads,Google Ads
L000026,,C008,Meta Retargeting,Facebook Ads,2026-06-28,,UAE,Toronto,West,Mobile,35-44,Qualified,0.0,Google Ads,LinkedIn,YouTube,Facebook Ads
L000027,,C004,YouTube Brand Awareness,YouTube,2026-05-17,,UK,Hyderabad,South,Desktop,18-24,Qualified,0.0,LinkedIn,Instagram,Google Ads,YouTube
L000028,CUST000027,C006,Email Retention Q3,Email,2025-12-17,2025-12-22,Germany,Dubai,East,Mobile,35-44,Customer,1642.32,LinkedIn,Google Ads,Organic Search,Email
L000029,,C008,Meta Retargeting,Facebook Ads,2026-01-14,,UK,New York,South,Tablet,45-54,Lost,0.0,YouTube,Facebook Ads,Instagram,Facebook Ads
L000030,CUST000029,C020,Year End Mega Sale,Google Ads,2026-03-15,2026-03-28,USA,Kolkata,West,Mobile,25-34,Customer,1637.76,Email,Google Ads,Email,Google Ads
L000031,,C003,Instagram Product Launch,Instagram,2025-07-20,,USA,Mumbai,East,Mobile,45-54,Qualified,0.0,YouTube,Organic Search,Email,Instagram
L000032,,C016,High Value Customer Campaign,Email,2025-04-17,,UAE,Delhi,Central,Desktop,45-54,Lost,0.0,YouTube,LinkedIn,YouTube,Email
L000033,CUST000032,C003,Instagram Product Launch,Instagram,2026-05-20,2026-06-05,Australia,Dubai,North,Desktop,18-24,Customer,1526.75,Google Ads,Email,Google Ads,Instagram
L000034,,C018,Social Video Conversion,Instagram,2026-01-19,,India,Delhi,East,Desktop,25-34,Lost,0.0,LinkedIn,Email,Email,Instagram
L000035,,C014,Festival Performance Ads,Facebook Ads,2025-10-23,,Australia,Toronto,North,Mobile,18-24,Qualified,0.0,Organic Search,LinkedIn,Instagram,Facebook Ads
L000036,,C018,Social Video Conversion,Instagram,2025-01-28,,UAE,Toronto,Central,Mobile,35-44,Lost,0.0,Email,Email,Google Ads,Instagram
L000037,,C002,Meta New Customer Push,Facebook Ads,2025-12-03,,Canada,Ahmedabad,Central,Mobile,45-54,Qualified,0.0,Google Ads,Facebook Ads,YouTube,Facebook Ads
L000038,,C003,Instagram Product Launch,Instagram,2025-10-14,,UK,Toronto,South,Mobile,18-24,Qualified,0.0,Facebook Ads,LinkedIn,LinkedIn,Instagram
L000039,,C016,High Value Customer Campaign,Email,2025-12-09,,USA,Dubai,North,Mobile,25-34,Lost,0.0,YouTube,Organic Search,LinkedIn,Email
L000040,,C009,Holiday Shopping Promo,Google Ads,2025-01-31,,UK,Delhi,South,Tablet,25-34,Lost,0.0,Email,Organic Search,Google Ads,Google Ads
L000041,,C004,YouTube Brand Awareness,YouTube,2026-05-02,,UK,Toronto,East,Mobile,45-54,Lost,0.0,Google Ads,YouTube,LinkedIn,YouTube
L000042,,C001,Google Search Summer Sale,Google Ads,2025-09-08,,Germany,Chennai,East,Mobile,45-54,Lost,0.0,Instagram,Google Ads,LinkedIn,Google Ads
L000043,,C004,YouTube Brand Awareness,YouTube,2025-12-29,,India,Pune,North,Desktop,25-34,Lost,0.0,Google Ads,LinkedIn,Google Ads,YouTube
L000044,,C001,Google Search Summer Sale,Google Ads,2025-04-17,,USA,London,East,Mobile,25-34,Lost,0.0,Instagram,LinkedIn,Organic Search,Google Ads
L000045,,C014,Festival Performance Ads,Facebook Ads,2026-05-21,,USA,Pune,Central,Mobile,45-54,Lost,0.0,LinkedIn,LinkedIn,Instagram,Facebook Ads
