Customer_ID,First_Touch,Second_Touch,Third_Touch,Last_Touch,Converted,Revenue
CUST000001,YouTube,Social Media,Social Media,Google Ads,0,0
CUST000002,LinkedIn,Google Ads,Email,Email,0,0
CUST000003,Email,Google Ads,Google Ads,YouTube,0,0
CUST000004,LinkedIn,Google Ads,Social Media,LinkedIn,0,0
CUST000005,LinkedIn,Email,Google Ads,LinkedIn,1,2905
CUST000006,Social Media,LinkedIn,Google Ads,LinkedIn,1,1652
CUST000007,Email,LinkedIn,Email,Email,1,3887
CUST000008,Email,YouTube,Google Ads,Email,0,0
CUST000009,Email,Google Ads,LinkedIn,Social Media,0,0
CUST000010,LinkedIn,Email,Social Media,Social Media,1,682
CUST000011,YouTube,Social Media,Google Ads,LinkedIn,0,0
CUST000012,Email,Social Media,Google Ads,Google Ads,1,1966
CUST000013,LinkedIn,YouTube,YouTube,YouTube,1,6160
CUST000014,Social Media,YouTube,YouTube,Social Media,1,2369
CUST000015,YouTube,Google Ads,LinkedIn,YouTube,0,0
CUST000016,Social Media,Google Ads,YouTube,Google Ads,1,5299
CUST000017,YouTube,Social Media,Google Ads,LinkedIn,0,0
CUST000018,LinkedIn,Social Media,Google Ads,YouTube,1,6108
CUST000019,Google Ads,Social Media,Social Media,LinkedIn,1,8927
CUST000020,YouTube,Social Media,YouTube,YouTube,0,0
CUST000021,Social Media,LinkedIn,Email,Google Ads,1,1943
CUST000022,LinkedIn,Google Ads,YouTube,Social Media,0,0
CUST000023,YouTube,Google Ads,Google Ads,Email,1,1423
CUST000024,Google Ads,Social Media,Social Media,LinkedIn,0,0
CUST000025,Google Ads,Email,YouTube,Social Media,0,0
CUST000026,Email,Social Media,Social Media,YouTube,1,7328
CUST000027,Email,YouTube,YouTube,Social Media,1,3499
CUST000028,Social Media,Email,LinkedIn,Email,0,0
CUST000029,YouTube,YouTube,Google Ads,LinkedIn,0,0
CUST000030,YouTube,Email,Google Ads,LinkedIn,0,0
CUST000031,Email,YouTube,Email,Social Media,1,5267
CUST000032,YouTube,Social Media,Google Ads,Google Ads,0,0
CUST000033,YouTube,Social Media,Email,YouTube,1,6323
CUST000034,Google Ads,Email,Google Ads,Social Media,1,7467
CUST000035,Email,YouTube,YouTube,Google Ads,1,6575
CUST000036,LinkedIn,LinkedIn,YouTube,LinkedIn,1,9612
CUST000037,Email,Email,LinkedIn,YouTube,0,0
CUST000038,LinkedIn,Email,YouTube,LinkedIn,0,0
CUST000039,Google Ads,Google Ads,Social Media,Email,1,4901
CUST000040,Social Media,Email,YouTube,Google Ads,1,4829
CUST000041,YouTube,LinkedIn,Email,Email,1,1530
CUST000042,Google Ads,Social Media,LinkedIn,Email,0,0
CUST000043,YouTube,YouTube,Social Media,Email,0,0
CUST000044,Social Media,Google Ads,Social Media,Google Ads,0,0
CUST000045,Social Media,YouTube,Google Ads,YouTube,0,0
CUST000046,Google Ads,Social Media,Email,LinkedIn,0,0
CUST000047,Social Media,Email,YouTube,YouTube,0,0
CUST000048,LinkedIn,LinkedIn,YouTube,YouTube,0,0
CUST000049,Social Media,Google Ads,Google Ads,YouTube,1,2378
CUST000050,YouTube,LinkedIn,YouTube,LinkedIn,0,0
CUST000051,YouTube,LinkedIn,Social Media,LinkedIn,0,0
CUST000052,YouTube,LinkedIn,YouTube,Google Ads,0,0
CUST000053,YouTube,LinkedIn,YouTube,Social Media,1,6505
CUST000054,LinkedIn,Social Media,Social Media,LinkedIn,1,4533
CUST000055,Email,LinkedIn,Email,LinkedIn,0,0
CUST000056,Google Ads,LinkedIn,Email,Social Media,0,0
CUST000057,YouTube,Social Media,Social Media,LinkedIn,0,0
CUST000058,Social Media,YouTube,Social Media,YouTube,0,0
CUST000059,YouTube,Social Media,LinkedIn,LinkedIn,0,0
CUST000060,Social Media,Email,LinkedIn,Google Ads,1,600
CUST000061,Social Media,Social Media,YouTube,LinkedIn,0,0
CUST000062,YouTube,YouTube,YouTube,Social Media,1,6412
CUST000063,LinkedIn,Email,LinkedIn,YouTube,1,5771
CUST000064,Social Media,Email,YouTube,Social Media,0,0
CUST000065,Social Media,Google Ads,Email,LinkedIn,0,0
CUST000066,YouTube,LinkedIn,Email,LinkedIn,1,5362
CUST000067,Social Media,Email,Google Ads,Google Ads,1,6429
CUST000068,Social Media,Email,LinkedIn,YouTube,1,4152
CUST000069,YouTube,YouTube,Email,LinkedIn,0,0
CUST000070,YouTube,Email,Google Ads,Google Ads,1,4435
CUST000071,Google Ads,YouTube,Social Media,Google Ads,0,0
CUST000072,LinkedIn,LinkedIn,Email,Social Media,0,0
CUST000073,LinkedIn,Google Ads,Google Ads,YouTube,0,0
CUST000074,Social Media,Google Ads,YouTube,Email,0,0
CUST000075,LinkedIn,LinkedIn,Google Ads,Google Ads,0,0
CUST000076,Social Media,LinkedIn,Email,Email,0,0
CUST000077,Google Ads,Social Media,YouTube,Social Media,0,0
CUST000078,YouTube,Email,YouTube,Google Ads,0,0
CUST000079,YouTube,Email,Google Ads,YouTube,0,0
CUST000080,YouTube,Email,Google Ads,Email,0,0
CUST000081,LinkedIn,YouTube,Email,YouTube,1,4941
CUST000082,Google Ads,Social Media,YouTube,Email,0,0
CUST000083,LinkedIn,Email,LinkedIn,Social Media,1,1622
CUST000084,LinkedIn,YouTube,Google Ads,Google Ads,0,0
CUST000085,Google Ads,YouTube,LinkedIn,Google Ads,0,0
