Event_ID,Lead_ID,Campaign_ID,Channel,Event_Type,Event_Date,Device
EVT000001,LEAD15796,CMP001,Email,Impression,2025-04-15,Desktop
EVT000002,LEAD00861,CMP008,Social Media,Qualified Lead,2025-01-18,Desktop
EVT000003,LEAD38159,CMP005,YouTube,Impression,2025-02-26,Mobile
EVT000004,LEAD44733,CMP001,Google Ads,Impression,2025-03-11,Desktop
EVT000005,LEAD11285,CMP012,LinkedIn,Lead,2025-12-10,Mobile
EVT000006,LEAD06266,CMP004,YouTube,Impression,2025-04-04,Mobile
EVT000007,LEAD16851,CMP015,Social Media,Click,2025-10-07,Tablet
EVT000008,LEAD37195,CMP009,YouTube,Impression,2025-02-01,Desktop
EVT000009,LEAD21963,CMP010,LinkedIn,Impression,2025-11-27,Mobile
EVT000010,LEAD47192,CMP013,LinkedIn,Impression,2025-01-31,Mobile
EVT000011,LEAD44132,CMP010,Social Media,Lead,2025-01-22,Mobile
EVT000012,LEAD16024,CMP010,Social Media,Lead,2025-03-19,Mobile
EVT000013,LEAD41091,CMP014,Social Media,Impression,2025-10-14,Mobile
EVT000014,LEAD01686,CMP019,Email,Impression,2025-02-16,Mobile
EVT000015,LEAD00770,CMP019,Google Ads,Qualified Lead,2025-10-21,Mobile
EVT000016,LEAD02434,CMP001,YouTube,Qualified Lead,2025-03-16,Desktop
EVT000017,LEAD05312,CMP008,Google Ads,Click,2025-10-08,Desktop
EVT000018,LEAD37820,CMP017,Social Media,Impression,2025-04-17,Mobile
EVT000019,LEAD39189,CMP010,Email,Lead,2025-05-02,Desktop
EVT000020,LEAD17569,CMP001,Social Media,Impression,2025-01-03,Desktop
EVT000021,LEAD19770,CMP008,Google Ads,Impression,2025-03-15,Desktop
EVT000022,LEAD28694,CMP005,Social Media,Qualified Lead,2025-05-21,Mobile
EVT000023,LEAD06397,CMP002,Social Media,Customer,2025-05-15,Mobile
EVT000024,LEAD27481,CMP019,Social Media,Impression,2025-02-05,Desktop
EVT000025,LEAD41435,CMP002,LinkedIn,Lead,2025-09-13,Desktop
EVT000026,LEAD25659,CMP020,Social Media,Impression,2025-01-30,Desktop
EVT000027,LEAD18943,CMP011,Email,Impression,2025-06-20,Mobile
EVT000028,LEAD18432,CMP003,Google Ads,Impression,2025-08-30,Desktop
EVT000029,LEAD02748,CMP009,Google Ads,Customer,2025-09-08,Desktop
EVT000030,LEAD00190,CMP008,Google Ads,Impression,2025-03-23,Mobile
EVT000031,LEAD19119,CMP006,Social Media,Impression,2025-09-01,Mobile
EVT000032,LEAD35774,CMP014,Social Media,Qualified Lead,2025-05-27,Mobile
EVT000033,LEAD01900,CMP008,LinkedIn,Customer,2025-10-01,Mobile
EVT000034,LEAD01268,CMP015,Email,Impression,2025-05-21,Mobile
EVT000035,LEAD31552,CMP003,Google Ads,Click,2025-10-12,Mobile
EVT000036,LEAD11395,CMP008,Google Ads,Customer,2025-04-15,Mobile
EVT000037,LEAD03557,CMP016,Google Ads,Impression,2025-01-08,Tablet
EVT000038,LEAD03891,CMP006,Google Ads,Lead,2025-05-09,Desktop
EVT000039,LEAD41607,CMP007,LinkedIn,Impression,2025-04-09,Mobile
EVT000040,LEAD30741,CMP013,Email,Impression,2025-04-06,Mobile
EVT000041,LEAD14503,CMP020,Google Ads,Impression,2025-06-03,Mobile
EVT000042,LEAD21778,CMP009,Google Ads,Impression,2025-11-06,Mobile
EVT000043,LEAD10628,CMP019,Email,Click,2025-06-11,Mobile
EVT000044,LEAD08793,CMP007,Google Ads,Impression,2025-10-19,Desktop
EVT000045,LEAD43324,CMP016,Social Media,Click,2025-08-30,Mobile
EVT000046,LEAD43022,CMP007,Google Ads,Impression,2025-12-13,Mobile
EVT000047,LEAD08434,CMP015,YouTube,Impression,2025-04-27,Mobile
EVT000048,LEAD43002,CMP005,Social Media,Impression,2025-11-03,Desktop
EVT000049,LEAD11017,CMP002,Social Media,Customer,2025-11-27,Mobile
EVT000050,LEAD23898,CMP002,LinkedIn,Impression,2025-08-14,Desktop
EVT000051,LEAD02613,CMP020,Social Media,Impression,2025-09-29,Mobile
EVT000052,LEAD23484,CMP005,Social Media,Impression,2025-02-14,Mobile
EVT000053,LEAD48556,CMP012,Social Media,Qualified Lead,2025-01-23,Desktop
EVT000054,LEAD17160,CMP004,Google Ads,Impression,2025-04-18,Mobile
EVT000055,LEAD44975,CMP018,Google Ads,Customer,2025-08-07,Mobile
EVT000056,LEAD40995,CMP020,Social Media,Lead,2025-03-26,Tablet
EVT000057,LEAD14542,CMP011,Email,Impression,2025-09-17,Mobile
EVT000058,LEAD35921,CMP020,Google Ads,Impression,2025-07-17,Mobile
EVT000059,LEAD26532,CMP006,Google Ads,Click,2025-01-05,Mobile
EVT000060,LEAD01586,CMP013,Social Media,Impression,2025-11-19,Tablet
EVT000061,LEAD03944,CMP005,Google Ads,Click,2025-04-06,Desktop
EVT000062,LEAD23940,CMP004,Social Media,Impression,2025-01-31,Mobile
EVT000063,LEAD19458,CMP010,Social Media,Impression,2025-03-25,Mobile
EVT000064,LEAD01022,CMP002,Social Media,Click,2025-01-07,Tablet
EVT000065,LEAD11654,CMP008,LinkedIn,Impression,2025-01-31,Mobile
EVT000066,LEAD43574,CMP020,Google Ads,Impression,2025-09-17,Mobile
EVT000067,LEAD13418,CMP020,LinkedIn,Impression,2025-03-26,Desktop
EVT000068,LEAD40758,CMP003,Email,Impression,2025-12-25,Mobile
EVT000069,LEAD09693,CMP009,Google Ads,Impression,2025-10-14,Mobile
EVT000070,LEAD45759,CMP020,Google Ads,Lead,2025-01-25,Desktop
EVT000071,LEAD06874,CMP002,YouTube,Click,2025-08-30,Mobile
EVT000072,LEAD05676,CMP017,Google Ads,Lead,2025-11-02,Mobile
EVT000073,LEAD00162,CMP001,Social Media,Impression,2025-10-29,Mobile
EVT000074,LEAD37066,CMP017,YouTube,Qualified Lead,2025-02-13,Desktop
EVT000075,LEAD26558,CMP005,LinkedIn,Impression,2025-08-20,Mobile
EVT000076,LEAD33764,CMP013,Email,Customer,2025-05-27,Desktop
EVT000077,LEAD32607,CMP008,LinkedIn,Click,2025-11-05,Mobile
EVT000078,LEAD11535,CMP007,Email,Impression,2025-10-11,Mobile
EVT000079,LEAD29128,CMP014,LinkedIn,Qualified Lead,2025-05-07,Mobile
EVT000080,LEAD40398,CMP008,YouTube,Impression,2025-02-26,Desktop
EVT000081,LEAD25852,CMP011,Google Ads,Impression,2025-09-26,Desktop
EVT000082,LEAD01017,CMP003,Social Media,Impression,2025-11-28,Desktop
EVT000083,LEAD24254,CMP005,Social Media,Impression,2025-02-05,Mobile
EVT000084,LEAD24277,CMP018,Social Media,Impression,2025-06-21,Desktop
EVT000085,LEAD23248,CMP005,LinkedIn,Qualified Lead,2025-02-14,Tablet
EVT000086,LEAD24301,CMP013,Google Ads,Impression,2025-04-23,Mobile
EVT000087,LEAD08530,CMP005,Google Ads,Impression,2025-11-28,Desktop
EVT000088,LEAD17263,CMP002,Google Ads,Click,2025-10-29,Desktop
EVT000089,LEAD09269,CMP013,Social Media,Impression,2025-03-23,Desktop
EVT000090,LEAD21272,CMP006,YouTube,Lead,2025-01-18,Mobile
EVT000091,LEAD12186,CMP017,Google Ads,Impression,2025-07-20,Mobile
EVT000092,LEAD21244,CMP008,Social Media,Click,2025-03-30,Desktop
EVT000093,LEAD39100,CMP017,Google Ads,Impression,2025-12-12,Mobile
EVT000094,LEAD08572,CMP019,Google Ads,Lead,2025-08-18,Mobile
